hh_type,hh_id
Couple with independent children only,HH1294601
Couple with independent children only,HH1294701
Couple with independent children only,HH1294701
Couple with independent children only,HH1294701
Couple with no children,HH1294801
Couple with no children,HH1294801
Couple with dependent children,HH1294901
Couple with dependent children,HH1294901
Couple with dependent children,HH1294901
Couple with dependent children,HH1295001
Couple with dependent children,HH1295001
Couple with dependent children,HH1295001
Couple with dependent children,HH1295001
Other,HH1295101
Other,HH1295101
Other,HH1295101
Other,HH1295101
Couple with independent children only,HH1295201
Couple with independent children only,HH1295201
Couple with independent children only,HH1295201
Couple with independent children only,HH1295201
Couple with independent children only,HH1295201
Couple with independent children only,NA
,
Couple with independent children only,HH1295301
Couple with independent children only,NA
,
Couple with independent children only,HH1295301
Couple with independent children only,HH1295301
Couple with independent children only,HH1295401
Couple with independent children only,HH1295401
Couple with independent children only,NA
,
Couple with independent children only,HH1295401
Couple with independent children only,NA
,
Two or more non-family adults,HH1295501
Two or more non-family adults,HH1295501
Two or more non-family adults,HH1295501
Two or more non-family adults,NA
,
Two or more non-family adults,NA
,
Two or more non-family adults,HH1295501
Lone parent with dependent children,HH1295601
Lone parent with dependent children,HH1295601
Lone parent with dependent children,NA
,
Lone parent with dependent children,NA
,
Couple with independent children only,HH1295701
Couple with independent children only,HH1295701
Couple with independent children only,HH1295701
Couple with dependent children,HH1295801
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1295801
Couple with dependent children,HH1295801
Other,HH1295901
Other,NA
,
Live alone,HH1296001
Couple with no children,HH1296101
Couple with no children,HH1296101
Couple with no children,HH1296101
Two or more non-family adults,HH1296201
Two or more non-family adults,NA
,
Two or more non-family adults,NA
,
Households containing two or more families,HH1296301
Households containing two or more families,HH1296301
Households containing two or more families,HH1296301
Households containing two or more families,HH1296301
Households containing two or more families,HH1296301
Households containing two or more families,HH1296301
Households containing two or more families,HH1296301
Couple with dependent children,HH1296401
Couple with dependent children,HH1296401
Couple with dependent children,HH1296401
Couple with dependent children,HH1296401
Live alone,HH1296501
Live alone,HH1296601
Couple with no children,HH1296701
Couple with no children,HH1296701
Couple with dependent children,HH1296801
Couple with dependent children,HH1296801
Couple with dependent children,HH1296801
Couple with dependent children,HH1296801
Couple with independent children only,HH1296901
Couple with independent children only,HH1296901
Couple with independent children only,HH1296901
Couple with dependent children,HH1297001
Couple with dependent children,HH1297001
Couple with dependent children,NA
,
Couple with dependent children,HH1297101
Couple with dependent children,NA
,
Couple with dependent children,HH1297101
Couple with dependent children,HH1297201
Couple with dependent children,HH1297201
Couple with dependent children,HH1297201
Couple with dependent children,HH1297201
Couple with dependent children,HH1297201
Couple with dependent children,HH1297201
Couple with no children,HH1297301
Couple with no children,HH1297301
Couple with independent children only,HH1297401
Couple with independent children only,HH1297401
Couple with independent children only,HH1297401
Couple with no children,HH1297501
Couple with no children,HH1297501
Couple with no children,NA
,
Other,HH1297601
Other,HH1297601
Other,HH1297601
Other,NA
,
Other,HH1297601
Other,HH1297601
Couple with dependent children,HH1297701
Couple with dependent children,HH1297701
Couple with dependent children,HH1297701
Couple with dependent children,HH1297801
Couple with dependent children,NA
,
Couple with dependent children,HH1297801
Couple with dependent children,HH1297801
Lone parent with independent children only,HH1297901
Lone parent with independent children only,HH1297901
Lone parent with independent children only,NA
,
Couple with dependent children,HH1298001
Couple with dependent children,NA
,
Couple with dependent children,HH1298001
Couple with dependent children,NA
,
Couple with dependent children,HH1298101
Couple with dependent children,HH1298101
Couple with dependent children,HH1298101
Couple with dependent children,HH1298201
Couple with dependent children,HH1298201
Couple with dependent children,HH1298201
Couple with dependent children,HH1298201
Couple with dependent children,HH1298201
Couple with dependent children,HH1298201
Couple with independent children only,HH1298301
Couple with independent children only,NA
,
Couple with independent children only,HH1298301
Couple with independent children only,HH1298301
Couple with independent children only,HH1298301
Couple with independent children only,HH1298301
Couple with independent children only,HH1298301
Couple with independent children only,HH1298401
Couple with independent children only,NA
,
Couple with independent children only,HH1298401
Couple with independent children only,HH1298401
Households containing two or more families,HH1298501
Households containing two or more families,HH1298501
Households containing two or more families,HH1298501
Households containing two or more families,HH1298501
Households containing two or more families,HH1298501
Couple with dependent children,HH1298601
Couple with dependent children,HH1298601
Couple with dependent children,HH1298601
Couple with dependent children,HH1298601
Couple with no children,HH1298701
Couple with no children,HH1298701
Couple with dependent children,HH1298801
Couple with dependent children,HH1298801
Couple with dependent children,NA
,
Couple with dependent children,HH1298801
Couple with dependent children,HH1298801
Households containing two or more families,HH1298901
Households containing two or more families,HH1298901
Households containing two or more families,HH1298901
Households containing two or more families,NA
,
Households containing two or more families,HH1298901
Couple with dependent children,HH1299001
Couple with dependent children,HH1299001
Couple with dependent children,HH1299001
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with independent children only,HH1299101
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Couple with independent children only,HH1299101
Couple with independent children only,HH1299101
Couple with independent children only,NA
,
Other,HH1299201
Other,NA
,
Other,HH1299201
Other,NA
,
Couple with dependent children,HH1299301
Couple with dependent children,HH1299301
Couple with dependent children,HH1299301
Couple with dependent children,HH1299301
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1299401
Couple with dependent children,HH1299401
Couple with dependent children,HH1299401
Couple with independent children only,HH1299501
Couple with independent children only,HH1299501
Couple with independent children only,HH1299501
Couple with independent children only,HH1299501
Lone parent with dependent children,HH1299601
Lone parent with dependent children,HH1299601
Couple with no children,HH1299701
Couple with no children,HH1299701
Couple with no children,HH1299801
Couple with no children,HH1299801
Live alone,HH1299901
Couple with no children,HH1300001
Couple with no children,HH1300001
Live alone,HH1300101
Couple with no children,HH1300201
Couple with no children,HH1300201
Live alone,HH1300301
Lone parent with independent children only,HH1300401
Lone parent with independent children only,HH1300401
Couple with independent children only,HH1300501
Couple with independent children only,HH1300501
Live alone,HH1300601
Couple with no children,HH1300701
Couple with no children,HH1300701
Couple with no children,HH1300801
Couple with no children,NA
,
Two or more non-family adults,HH1300901
Two or more non-family adults,NA
,
Couple with no children,HH1301001
Couple with no children,HH1301001
Couple with no children,HH1301001
Live alone,HH1301101
Couple with dependent children,HH1301201
Couple with dependent children,HH1301201
Couple with dependent children,HH1301201
Couple with dependent children,NA
,
Lone parent with dependent children,HH1301301
Lone parent with dependent children,HH1301301
Couple with dependent children,HH1301401
Couple with dependent children,HH1301401
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Lone parent with independent children only,HH1301501
Lone parent with independent children only,HH1301501
Couple with no children,HH1301601
Couple with no children,NA
,
Live alone,HH1301701
Couple with no children,HH1301801
Couple with no children,HH1301801
Couple with no children,HH1301801
Live alone,HH1301901
Couple with dependent children,HH1302001
Couple with dependent children,HH1302001
Couple with dependent children,HH1302001
Couple with dependent children,HH1302001
Couple with no children,HH1302101
Couple with no children,HH1302101
Other,HH1302201
Other,HH1302201
Couple with no children,HH1302301
Couple with no children,HH1302301
Live alone,HH1302401
Couple with dependent children,HH1302501
Couple with dependent children,HH1302501
Couple with dependent children,HH1302501
Couple with dependent children,HH1302501
Couple with dependent children,HH1302601
Couple with dependent children,HH1302601
Couple with dependent children,HH1302601
Couple with dependent children,HH1302601
Couple with dependent children,HH1302601
Couple with dependent children,HH1302601
Couple with no children,HH1302701
Couple with no children,HH1302701
Live alone,HH1302801
Live alone,HH1302901
Live alone,HH1303001
Couple with no children,HH1303101
Couple with no children,NA
,
Couple with no children,HH1303101
Live alone,HH1303201
Couple with independent children only,HH1303301
Couple with independent children only,HH1303301
Couple with no children,HH1303401
Couple with no children,HH1303401
Live alone,HH1303501
Couple with no children,HH1303601
Couple with no children,HH1303601
Couple with independent children only,HH1303701
Couple with independent children only,HH1303701
Couple with independent children only,HH1303701
Two or more non-family adults,HH1303801
Two or more non-family adults,HH1303801
Lone parent with independent children only,HH1303901
Lone parent with independent children only,HH1303901
Other,HH1304001
Other,HH1304001
Couple with no children,HH1304101
Couple with no children,NA
,
Live alone,HH1304201
Other,HH1304301
Other,HH1304301
Live alone,HH1304401
Couple with no children,HH1304501
Couple with no children,HH1304501
Live alone,HH1304601
Couple with dependent children,HH1304701
Couple with dependent children,NA
,
Couple with dependent children,HH1304701
Couple with dependent children,NA
,
Couple with independent children only,HH1304801
Couple with independent children only,HH1304801
Couple with independent children only,NA
,
Couple with independent children only,HH1304801
Lone parent with independent children only,HH1304901
Lone parent with independent children only,HH1304901
Lone parent with independent children only,HH1304901
Live alone,HH1305001
Couple with no children,HH1305101
Couple with no children,HH1305101
Couple with no children,HH1305201
Couple with no children,HH1305201
Live alone,HH1305301
Couple with independent children only,HH1305401
Couple with independent children only,HH1305401
Couple with independent children only,HH1305401
Couple with dependent children,HH1305501
Couple with dependent children,HH1305501
Couple with dependent children,NA
,
Couple with dependent children,HH1305501
Couple with no children,HH1305601
Couple with no children,HH1305601
Couple with no children,HH1305601
Couple with no children,HH1305701
Couple with no children,HH1305701
Live alone,HH1305801
Lone parent with dependent children,HH1305901
Lone parent with dependent children,HH1305901
Live alone,HH1306001
Couple with dependent children,HH1306101
Couple with dependent children,HH1306101
Couple with dependent children,HH1306101
Couple with dependent children,HH1306101
Live alone,HH1306201
Couple with dependent children,HH1306301
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1306301
Other,HH1306401
Other,HH1306401
Lone parent with dependent children,HH1306501
Lone parent with dependent children,HH1306501
Other,HH1306601
Other,HH1306601
Other,HH1306601
Other,HH1306601
Couple with dependent children,HH1306701
Couple with dependent children,HH1306701
Couple with dependent children,HH1306701
Couple with dependent children,HH1306701
Couple with dependent children,HH1306801
Couple with dependent children,HH1306801
Couple with dependent children,HH1306801
Lone parent with dependent children,HH1306901
Lone parent with dependent children,NA
,
Lone parent with dependent children,HH1306901
Other,HH1307001
Other,HH1307001
Live alone,HH1307101
Couple with no children,HH1307201
Couple with no children,HH1307201
Couple with independent children only,HH1307301
Couple with independent children only,HH1307301
Couple with no children,HH1307401
Couple with no children,HH1307401
Live alone,HH1307501
Couple with dependent children,HH1307601
Couple with dependent children,HH1307601
Couple with dependent children,HH1307601
Couple with dependent children,HH1307701
Couple with dependent children,NA
,
Couple with dependent children,HH1307701
Couple with dependent children,NA
,
Couple with independent children only,HH1307801
Couple with independent children only,HH1307801
Couple with independent children only,HH1307901
Couple with independent children only,NA
,
Lone parent with independent children only,HH1308001
Lone parent with independent children only,HH1308001
Couple with no children,HH1308101
Couple with no children,NA
,
Live alone,HH1308201
Couple with independent children only,HH1308301
Couple with independent children only,HH1308301
Lone parent with independent children only,HH1308401
Lone parent with independent children only,HH1308401
Couple with dependent children,HH1308501
Couple with dependent children,HH1308501
Couple with dependent children,HH1308501
Couple with dependent children,NA
,
Lone parent with dependent children,HH1308601
Lone parent with dependent children,HH1308601
Lone parent with dependent children,HH1308601
Lone parent with dependent children,HH1308601
Couple with dependent children,HH1308701
Couple with dependent children,HH1308701
Couple with dependent children,HH1308701
Couple with dependent children,HH1308701
Couple with dependent children,HH1308701
Lone parent with dependent children,HH1308801
Lone parent with dependent children,NA
,
Lone parent with dependent children,NA
,
Live alone,HH1308901
Live alone,HH1309001
Couple with no children,HH1309101
Couple with no children,HH1309101
Couple with no children,HH1309101
Couple with independent children only,HH1309201
Couple with independent children only,NA
,
Couple with no children,HH1309301
Couple with no children,HH1309301
Live alone,HH1309401
Couple with independent children only,HH1309501
Couple with independent children only,HH1309501
Couple with independent children only,HH1309501
Couple with independent children only,HH1309601
Couple with independent children only,HH1309601
Couple with independent children only,HH1309601
Live alone,HH1309701
Couple with no children,HH1309801
Couple with no children,HH1309801
Couple with no children,HH1309801
Couple with dependent children,HH1309901
Couple with dependent children,HH1309901
Couple with dependent children,HH1309901
Couple with dependent children,HH1309901
Live alone,HH1310001
Lone parent with dependent children,HH1310101
Lone parent with dependent children,HH1310101
Couple with no children,HH1310201
Couple with no children,HH1310201
Couple with dependent children,HH1310301
Couple with dependent children,HH1310301
Couple with dependent children,HH1310301
Couple with dependent children,HH1310301
Couple with dependent children,HH1310301
Couple with dependent children,HH1310301
Two or more non-family adults,HH1310401
Two or more non-family adults,HH1310401
Couple with no children,HH1310501
Couple with no children,HH1310501
Other,HH1310601
Other,HH1310601
Couple with no children,HH1310701
Couple with no children,HH1310701
Couple with no children,HH1310801
Couple with no children,HH1310801
Live alone,HH1310901
Couple with dependent children,HH1311001
Couple with dependent children,HH1311001
Couple with dependent children,HH1311001
Couple with dependent children,HH1311001
Couple with dependent children,HH1311001
Couple with independent children only,HH1311101
Couple with independent children only,HH1311101
Couple with no children,HH1311201
Couple with no children,HH1311201
Couple with no children,HH1311201
Couple with independent children only,HH1311301
Couple with independent children only,HH1311301
Couple with independent children only,HH1311301
Couple with independent children only,HH1311401
Couple with independent children only,HH1311401
Live alone,HH1311501
Couple with no children,HH1311601
Couple with no children,HH1311601
Couple with no children,HH1311601
Couple with independent children only,HH1311701
Couple with independent children only,HH1311701
Couple with independent children only,HH1311701
Couple with dependent children,HH1311801
Couple with dependent children,HH1311801
Couple with dependent children,HH1311801
Couple with no children,HH1311901
Couple with no children,NA
,
Couple with no children,HH1311901
Couple with no children,HH1312001
Couple with no children,HH1312001
Couple with no children,HH1312101
Couple with no children,HH1312101
Couple with dependent children,HH1312201
Couple with dependent children,HH1312201
Couple with dependent children,HH1312201
Couple with dependent children,HH1312201
Couple with dependent children,HH1312301
Couple with dependent children,HH1312301
Couple with dependent children,NA
,
Couple with no children,HH1312401
Couple with no children,HH1312401
Couple with dependent children,HH1312501
Couple with dependent children,HH1312501
Couple with dependent children,HH1312501
Couple with dependent children,HH1312601
Couple with dependent children,HH1312601
Couple with dependent children,NA
,
Live alone,HH1312701
Couple with independent children only,HH1312801
Couple with independent children only,HH1312801
Couple with dependent children,HH1312901
Couple with dependent children,HH1312901
Couple with dependent children,HH1312901
Couple with dependent children,HH1312901
Couple with no children,HH1313001
Couple with no children,HH1313001
Couple with independent children only,HH1313101
Couple with independent children only,NA
,
Couple with independent children only,HH1313101
Live alone,HH1313201
Other,HH1313301
Other,HH1313301
Live alone,HH1313401
Lone parent with dependent children,HH1313501
Lone parent with dependent children,HH1313501
Lone parent with dependent children,HH1313501
Live alone,HH1313601
Couple with independent children only,HH1313701
Couple with independent children only,HH1313701
Couple with independent children only,HH1313801
Couple with independent children only,HH1313801
Couple with independent children only,HH1313801
Couple with no children,HH1313901
Couple with no children,NA
,
Couple with no children,HH1313901
Couple with no children,HH1314001
Couple with no children,HH1314001
Couple with dependent children,HH1314101
Couple with dependent children,HH1314101
Couple with dependent children,HH1314101
Couple with dependent children,HH1314201
Couple with dependent children,HH1314201
Couple with dependent children,HH1314201
Couple with dependent children,HH1314201
Couple with dependent children,HH1314201
Couple with dependent children,HH1314301
Couple with dependent children,NA
,
Couple with dependent children,HH1314301
Couple with dependent children,HH1314301
Couple with dependent children,HH1314301
Couple with dependent children,HH1314301
Couple with no children,HH1314401
Couple with no children,HH1314401
Couple with no children,HH1314401
Couple with no children,HH1314501
Couple with no children,NA
,
Other,HH1314601
Other,HH1314601
Couple with independent children only,HH1314701
Couple with independent children only,HH1314701
Couple with independent children only,NA
,
Live alone,HH1314801
Couple with independent children only,HH1314901
Couple with independent children only,HH1314901
Live alone,HH1315001
Live alone,HH1315101
Couple with independent children only,HH1315201
Couple with independent children only,HH1315201
Couple with independent children only,HH1315201
Other,HH1315301
Other,HH1315301
Live alone,HH1315401
Couple with dependent children,HH61315501
Couple with dependent children,NA
,
Couple with dependent children,HH61315501
Couple with dependent children,HH61315501
Couple with dependent children,HH61315501
Couple with dependent children,HH61315501
Couple with dependent children,HH61315501
Lone parent with dependent children,HH1315601
Lone parent with dependent children,HH1315601
Couple with no children,HH1315701
Couple with no children,NA
,
Couple with dependent children,HH1315801
Couple with dependent children,HH1315801
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1315801
Couple with dependent children,HH1315801
Couple with dependent children,HH1315801
Couple with dependent children,HH1315801
Couple with dependent children,HH1315801
Live alone,HH1315901
Couple with dependent children,HH1316001
Couple with dependent children,HH1316001
Couple with dependent children,HH1316001
Couple with dependent children,HH1316001
Couple with independent children only,HH1316101
Couple with independent children only,HH1316101
Couple with independent children only,HH1316101
Lone parent with independent children only,HH1316201
Lone parent with independent children only,HH1316201
Couple with no children,HH1316301
Couple with no children,HH1316301
Live alone,HH1316401
Other,HH1316501
Other,NA
,
Other,HH1316501
Couple with independent children only,HH1316601
Couple with independent children only,HH1316601
Couple with independent children only,HH1316601
Couple with independent children only,HH1316601
Couple with dependent children,HH1316701
Couple with dependent children,HH1316701
Couple with dependent children,HH1316701
Couple with dependent children,HH1316701
Couple with independent children only,HH1316801
Couple with independent children only,HH1316801
Couple with independent children only,HH1316801
Couple with no children,HH1316901
Couple with no children,HH1316901
Couple with no children,HH1317001
Couple with no children,HH1317001
Couple with no children,HH1317001
Two or more non-family adults,HH1317101
Two or more non-family adults,HH1317101
Two or more non-family adults,HH1317101
Two or more non-family adults,HH1317101
Couple with independent children only,HH1317201
Couple with independent children only,HH1317201
Couple with dependent children,HH1317301
Couple with dependent children,HH1317301
Couple with dependent children,HH1317301
Couple with dependent children,HH1317301
Couple with dependent children,HH1317301
Couple with independent children only,HH1317401
Couple with independent children only,HH1317401
Lone parent with independent children only,HH1317501
Lone parent with independent children only,HH1317501
Lone parent with independent children only,HH1317501
Lone parent with independent children only,HH1317501
Lone parent with independent children only,HH1317501
Couple with dependent children,HH1317601
Couple with dependent children,NA
,
Couple with dependent children,HH1317601
Couple with dependent children,HH1317601
Couple with dependent children,HH1317701
Couple with dependent children,HH1317701
Couple with dependent children,HH1317701
Couple with dependent children,HH1317701
Couple with no children,HH1317801
Couple with no children,HH1317801
Other,HH1317901
Other,HH1317901
Couple with dependent children,HH1318001
Couple with dependent children,NA
,
Couple with dependent children,HH1318001
Couple with dependent children,HH1318001
Couple with independent children only,HH1318101
Couple with independent children only,HH1318101
Couple with dependent children,HH1318201
Couple with dependent children,NA
,
Couple with dependent children,HH1318201
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with no children,HH1318301
Couple with no children,HH1318301
Couple with no children,HH1318401
Couple with no children,HH1318401
Couple with no children,HH1318401
Couple with independent children only,HH1318501
Couple with independent children only,NA
,
Couple with independent children only,HH1318501
Lone parent with dependent children,HH1318601
Lone parent with dependent children,HH1318601
Couple with no children,HH1318701
Couple with no children,HH1318701
Couple with no children,HH1318801
Couple with no children,HH1318801
Couple with no children,HH61318901
Couple with no children,HH61318901
Couple with no children,HH61318901
Couple with no children,HH1319001
Couple with no children,HH1319001
Other,HH1319101
Other,NA
,
Other,NA
,
Other,HH1319101
Other,NA
,
Couple with dependent children,HH1319201
Couple with dependent children,HH1319201
Couple with dependent children,HH1319201
Couple with dependent children,NA
,
Couple with no children,HH1319301
Couple with no children,HH1319301
Couple with independent children only,HH1319401
Couple with independent children only,HH1319401
Couple with no children,HH1319501
Couple with no children,HH1319501
Couple with independent children only,HH1319601
Couple with independent children only,HH1319601
Couple with no children,HH1319701
Couple with no children,HH1319701
Couple with no children,HH1319701
Couple with no children,HH1319801
Couple with no children,HH1319801
Live alone,HH1319901
Couple with dependent children,HH1320001
Couple with dependent children,HH1320001
Couple with dependent children,HH1320001
Couple with dependent children,NA
,
Couple with dependent children,HH1320101
Couple with dependent children,HH1320101
Couple with dependent children,HH1320101
Lone parent with dependent children,HH1320201
Lone parent with dependent children,HH1320201
Lone parent with dependent children,HH1320201
Couple with no children,HH1320301
Couple with no children,HH1320301
Couple with independent children only,HH1320401
Couple with independent children only,HH1320401
Couple with independent children only,HH1320401
Couple with independent children only,HH1320401
Couple with no children,HH1320501
Couple with no children,HH1320501
Couple with dependent children,HH1320601
Couple with dependent children,HH1320601
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Live alone,HH1320701
Couple with dependent children,HH1320801
Couple with dependent children,HH1320801
Couple with dependent children,HH1320801
Couple with dependent children,HH1320801
Couple with dependent children,HH1320801
Other,HH1320901
Other,HH1320901
Other,HH1320901
Other,HH1320901
Other,HH1321001
Other,HH1321001
Other,HH1321101
Other,HH1321101
Other,HH1321101
Live alone,HH1321201
Couple with dependent children,HH1321301
Couple with dependent children,HH1321301
Couple with dependent children,HH1321301
Couple with dependent children,HH1321301
Two or more non-family adults,HH1321401
Two or more non-family adults,NA
,
Lone parent with independent children only,HH1321501
Lone parent with independent children only,HH1321501
Live alone,HH1321601
Live alone,HH1321701
Couple with independent children only,HH1321801
Couple with independent children only,NA
,
Lone parent with dependent children,HH1321901
Lone parent with dependent children,HH1321901
Lone parent with dependent children,NA
,
Lone parent with dependent children,NA
,
Couple with independent children only,HH1322001
Couple with independent children only,HH1322001
Couple with no children,HH1322101
Couple with no children,HH1322101
Couple with dependent children,HH1322201
Couple with dependent children,HH1322201
Couple with dependent children,HH1322201
Couple with no children,HH1322301
Couple with no children,HH1322301
Couple with no children,HH1322301
Couple with no children,HH1322401
Couple with no children,NA
,
Couple with no children,NA
,
Live alone,HH1322501
Couple with independent children only,HH1322601
Couple with independent children only,HH1322601
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Live alone,HH1322701
Couple with dependent children,HH1322801
Couple with dependent children,HH1322801
Couple with dependent children,NA
,
Couple with dependent children,HH1322801
Couple with dependent children,HH1322801
Couple with dependent children,HH1322901
Couple with dependent children,HH1322901
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1322901
Couple with dependent children,HH1322901
Couple with dependent children,HH1322901
Couple with dependent children,HH1322901
Couple with dependent children,HH1322901
Couple with no children,HH1323001
Couple with no children,HH1323001
Lone parent with dependent children,HH1323101
Lone parent with dependent children,NA
,
Lone parent with dependent children,NA
,
Couple with no children,HH1323201
Couple with no children,NA
,
Couple with no children,HH1323301
Couple with no children,HH1323301
Lone parent with independent children only,HH1323401
Lone parent with independent children only,NA
,
Lone parent with independent children only,NA
,
Couple with dependent children,HH1323501
Couple with dependent children,HH1323501
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1323601
Couple with dependent children,HH1323601
Couple with dependent children,HH1323601
Couple with dependent children,HH1323601
Couple with dependent children,HH1323601
Couple with dependent children,HH1323601
Couple with dependent children,HH1323601
Couple with dependent children,HH1323601
Couple with dependent children,HH1323601
Couple with dependent children,HH1323701
Couple with dependent children,HH1323701
Couple with dependent children,HH1323701
Couple with dependent children,HH1323701
Couple with independent children only,HH1323801
Couple with independent children only,HH1323801
Couple with independent children only,HH1323801
Couple with independent children only,HH1323801
Couple with dependent children,HH1323901
Couple with dependent children,HH1323901
Couple with dependent children,HH1323901
Couple with independent children only,HH1324001
Couple with independent children only,HH1324001
Couple with no children,HH1324101
Couple with no children,HH1324101
Lone parent with dependent children,HH1324201
Lone parent with dependent children,NA
,
Two or more non-family adults,HH1324301
Two or more non-family adults,HH1324301
Two or more non-family adults,HH1324301
Couple with dependent children,HH1324401
Couple with dependent children,HH1324401
Couple with dependent children,HH1324401
Couple with dependent children,HH1324501
Couple with dependent children,HH1324501
Couple with dependent children,HH1324501
Couple with dependent children,HH1324501
Lone parent with dependent children,HH1324601
Lone parent with dependent children,HH1324601
Couple with no children,HH1324701
Couple with no children,HH1324701
Live alone,HH1324801
Couple with dependent children,HH1324901
Couple with dependent children,HH1324901
Couple with dependent children,HH1324901
Couple with dependent children,HH1324901
Couple with dependent children,HH1325001
Couple with dependent children,HH1325001
Couple with dependent children,HH1325001
Couple with dependent children,HH1325001
Live alone,HH1325101
Couple with independent children only,HH1325201
Couple with independent children only,HH1325201
Lone parent with independent children only,HH1325301
Lone parent with independent children only,HH1325301
Lone parent with independent children only,NA
,
Lone parent with independent children only,NA
,
Lone parent with independent children only,HH1325401
Lone parent with independent children only,HH1325401
Couple with dependent children,HH1325501
Couple with dependent children,NA
,
Couple with dependent children,HH1325501
Couple with dependent children,HH1325501
Lone parent with independent children only,HH1325601
Lone parent with independent children only,HH1325601
Lone parent with independent children only,HH1325601
Lone parent with independent children only,HH1325601
Couple with dependent children,HH1325701
Couple with dependent children,HH1325701
Couple with dependent children,HH1325701
Couple with independent children only,HH1325801
Couple with independent children only,HH1325801
Couple with dependent children,HH1325901
Couple with dependent children,HH1325901
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1325901
Couple with no children,HH1326001
Couple with no children,NA
,
Other,HH1326101
Other,HH1326101
Couple with dependent children,HH1326201
Couple with dependent children,HH1326201
Couple with dependent children,HH1326201
Couple with dependent children,NA
,
Couple with no children,HH1326301
Couple with no children,HH1326301
Couple with no children,HH1326401
Couple with no children,HH1326401
Couple with independent children only,HH1326501
Couple with independent children only,HH1326501
Couple with independent children only,HH1326501
Households containing two or more families,HH1326601
Households containing two or more families,HH1326601
Households containing two or more families,HH1326601
Households containing two or more families,HH1326601
Couple with independent children only,HH1326701
Couple with independent children only,HH1326701
Couple with independent children only,HH1326701
Couple with independent children only,HH1326701
Couple with dependent children,HH1326801
Couple with dependent children,NA
,
Couple with dependent children,HH1326801
Couple with dependent children,HH1326801
Couple with dependent children,HH1326801
Couple with dependent children,HH1326801
Couple with dependent children,HH1326901
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1326901
Couple with dependent children,HH1327001
Couple with dependent children,HH1327001
Couple with dependent children,HH1327001
Couple with dependent children,HH1327001
Other,HH1327101
Other,HH1327101
Couple with dependent children,HH1327201
Couple with dependent children,HH1327201
Couple with dependent children,HH1327201
Couple with dependent children,HH1327201
Couple with no children,HH1327301
Couple with no children,NA
,
Couple with no children,HH1327301
Couple with no children,HH1327401
Couple with no children,HH1327401
Couple with dependent children,HH1327501
Couple with dependent children,HH1327501
Couple with dependent children,HH1327501
Couple with dependent children,HH1327501
Lone parent with dependent children,HH1327601
Lone parent with dependent children,HH1327601
Other,HH1327701
Other,HH1327701
Lone parent with independent children only,HH1327801
Lone parent with independent children only,HH1327801
Couple with dependent children,HH1327901
Couple with dependent children,HH1327901
Couple with dependent children,HH1327901
Couple with dependent children,HH1327901
Lone parent with dependent children,HH1328001
Lone parent with dependent children,NA
,
Lone parent with dependent children,HH1328001
Couple with dependent children,HH1328101
Couple with dependent children,HH1328101
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Live alone,HH1328201
Couple with independent children only,HH1328301
Couple with independent children only,HH1328301
Couple with independent children only,HH1328301
Couple with independent children only,HH1328301
Couple with no children,HH1328401
Couple with no children,HH1328401
Couple with no children,HH1328401
Couple with dependent children,HH1328501
Couple with dependent children,HH1328501
Couple with dependent children,NA
,
Couple with dependent children,HH1328501
Couple with dependent children,HH1328501
Other,HH1328601
Other,HH1328601
Couple with independent children only,HH1328701
Couple with independent children only,HH1328701
Couple with independent children only,HH1328801
Couple with independent children only,NA
,
Couple with independent children only,HH1328801
Couple with independent children only,HH1328801
Couple with independent children only,HH1328801
Other,HH1328901
Other,HH1328901
Other,HH1329001
Other,NA
,
Couple with independent children only,HH1329101
Couple with independent children only,HH1329101
Couple with independent children only,HH1329101
Couple with dependent children,HH1329201
Couple with dependent children,HH1329201
Couple with dependent children,HH1329201
Couple with dependent children,HH1329201
Couple with dependent children,HH1329201
Couple with dependent children,HH1329201
Couple with dependent children,HH1329201
Other,HH1329301
Other,HH1329301
Other,HH1329301
Couple with no children,HH1329401
Couple with no children,HH1329401
Couple with no children,HH1329401
Couple with dependent children,HH1329501
Couple with dependent children,HH1329501
Couple with dependent children,NA
,
Couple with no children,HH1329601
Couple with no children,HH1329601
Couple with no children,HH1329601
Couple with dependent children,HH1329701
Couple with dependent children,HH1329701
Couple with dependent children,HH1329701
Couple with dependent children,HH1329801
Couple with dependent children,HH1329801
Couple with dependent children,HH1329801
